first_person_rate,album,second_person_rate,lexical_entropy,third_person_rate,repetition_rate,line_end_similarity,song
5.54,lust_for_life,41.551,6.0374,2.77,0.5303,0.6212,lust_for_life_when_the_world_was_at_war.txt
100.962,lust_for_life,120.192,5.879,0.0,0.2941,0.6176,lust_for_life_white_mustang.txt
98.462,nfr,9.231,6.4914,15.385,0.2727,0.6136,nfr_bartender
43.269,nfr,122.596,6.4316,0.0,0.383,0.5745,nfr_california
128.527,nfr,56.426,5.515,0.0,0.6,0.7,nfr_cinnamon_girl
57.143,nfr,3.175,6.1374,22.222,0.4634,0.5366,nfr_doin_time
143.82,nfr,80.899,6.0877,0.0,0.3729,0.6102,nfr_fck_it_i_love_you
94.987,nfr,47.493,6.381,10.554,0.4074,0.5926,nfr_happiness_is_a_butterfly
128.878,nfr,9.547,6.7906,7.16,0.1642,0.5373,nfr_hope_is_a_dangerous_thing
76.142,nfr,30.457,6.5348,45.685,0.1071,0.5,nfr_how_to_disappear
90.909,nfr,68.182,6.1327,0.0,0.4,0.4857,nfr_love_song
66.986,nfr,162.679,5.7178,0.0,0.3889,0.5833,nfr_norman_fcking_rockwell
112.971,nfr,12.552,6.1804,8.368,0.1515,0.5152,nfr_the_greatest
95.238,nfr,30.812,6.2701,14.006,0.4444,0.5333,nfr_the_next_best_american_record
93.023,nfr,119.601,6.4966,9.967,0.225,0.475,nfr_venice_btch
59.055,ultraviolence,70.866,5.7049,11.811,0.4222,0.6222,ultraviolence_black_beauty.txt
134.615,ultraviolence,24.038,5.9185,21.635,0.3108,0.6081,ultraviolence_brooklyn_baby.txt
111.702,ultraviolence,117.021,5.8732,0.0,0.3881,0.7121,ultraviolence_cruel_world.txt
156.934,ultraviolence,58.394,5.228,0.0,0.5106,0.6957,ultraviolence_fcked_my_way_up_to_the_top.txt
45.872,ultraviolence,36.697,6.3477,6.116,0.377,0.541,ultraviolence_florida_kilos.txt
34.632,ultraviolence,60.606,5.4044,56.277,0.3043,0.5217,ultraviolence_guns_and_roses.txt
72.289,ultraviolence,76.305,5.7269,24.096,0.439,0.6341,ultraviolence_money_power_glory.txt
51.948,ultraviolence,99.567,5.6861,0.0,0.2353,0.5294,ultraviolence_old_money.txt
211.864,ultraviolence,93.22,5.2725,4.237,0.2222,0.5278,ultraviolence_pretty_when_you_cry.txt
103.093,ultraviolence,41.237,5.1642,38.66,0.6212,0.8182,ultraviolence_sad_girl.txt
